Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Time_Period
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,2,Overtaking,Slight Injury,Evening
Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Overtaking,3,No priority to vehicle,Slight Injury,Evening
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Special vehicle,Owner,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,2,Changing lane to the left,Serious Injury,Afternoon
Thursday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,3,No priority to vehicle,Slight Injury,Evening
Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,3,No distancing,Slight Injury,Afternoon
Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,3,Overtaking,Slight Injury,Afternoon
Thursday,18-30,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,4,Going straight,3,No distancing,Slight Injury,Morning
Tuesday,31-50,Male,Writing & reading,Employee,Below 1yr,Pick up upto 10Q,Owner,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,3,Changing lane to the right,Slight Injury,Morning
Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner, Hospital areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Moving Backward,3,Changing lane to the left,Slight Injury,Morning
Saturday,31-50,Male,High school,Employee,2-5yr,Pick up upto 10Q,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,3,Moving Backward,Slight Injury,Evening
Thursday,18-30,Male,Above high school,Employee,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the right,Slight Injury,Evening
Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving carelessly,Slight Injury,Evening
Friday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,2,Driving carelessly,Slight Injury,Morning
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,3,Changing lane to the right,Slight Injury,Morning
Tuesday,Unknown,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Other,3,No priority to vehicle,Slight Injury,Afternoon
Tuesday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Other,3,Changing lane to the right,Slight Injury,Afternoon
Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,2,Reversing,3,Turnover,Slight Injury,Afternoon
Saturday,Over 51,Male,High school,Employee,1-2yr,Motorcycle,Owner, Industrial areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Morning
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Morning
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,3,Driving carelessly,Slight Injury,Afternoon
Saturday,Unknown,Female,Elementary school,Owner,5-10yr,Long lorry,Owner,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Moving Backward,Slight Injury,Afternoon
Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,3,Changing lane to the right,Serious Injury,Evening
Saturday,31-50,Male,Elementary school,Owner,5-10yr,Public (> 45 seats),Owner, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Overtaking,Serious Injury,Evening
Sunday,Unknown,Female,Junior high school,Employee,2-5yr,Pick up upto 10Q,Governmental, Outside rural areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,3,1,Moving Backward,3,No distancing,Slight Injury,Evening
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,School areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,3,Moving Backward,Slight Injury,Evening
Thursday,31-50,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Turnover,3,No distancing,Slight Injury,Afternoon
Thursday,Over 51,Male,Elementary school,Employee,5-10yr,Automobile,Owner, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,3,No distancing,Slight Injury,Afternoon
Monday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Slight Injury,Afternoon
Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner, Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving under the influence of drugs,Serious Injury,Afternoon
Wednesday,Over 51,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner, Outside rural areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,3,Changing lane to the left,Serious Injury,Afternoon
Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,2,Driving to the left,Serious Injury,Morning
Sunday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Driving at high speed,Slight Injury,Evening
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,3,Overtaking,Slight Injury,Evening
Friday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,3,Moving Backward,Serious Injury,Morning
Thursday,Over 51,Male,Junior high school,Employee,Below 1yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,3,Moving Backward,Slight Injury,Morning
Monday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,5,Going straight,3,No distancing,Slight Injury,Morning
Monday,31-50,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,5,Going straight,3,Moving Backward,Slight Injury,Morning
Monday,31-50,Male,Elementary school,Employee,1-2yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,5,Going straight,3,Changing lane to the left,Slight Injury,Morning
Monday,18-30,Male,Above high school,Owner,1-2yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,5,Going straight,3,No distancing,Slight Injury,Morning
Friday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to vehicle,Slight Injury,Morning
Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Driving under the influence of drugs,Slight Injury,Morning
Sunday,Under 18,Male,High school,Owner,Below 1yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Going straight,3,No distancing,Serious Injury,Night
Sunday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,4,Going straight,3,No distancing,Serious Injury,Night
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Moving Backward,3,Changing lane to the left,Serious Injury,Night
Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Stationwagen,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Other,3,Changing lane to the right,Slight Injury,Morning
Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,3,Driving under the influence of drugs,Slight Injury,Morning
Friday,18-30,Unknown,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,3,Moving Backward,Slight Injury,Morning
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Governmental,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No priority to pedestrian,Slight Injury,Night
Sunday,Unknown,Female,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,No distancing,Slight Injury,Night
Wednesday,18-30,Male,High school,Employee,2-5yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,3,Changing lane to the left,Serious Injury,Morning
Friday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,3,Driving carelessly,Slight Injury,Afternoon
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Other,No Licence,Pick up upto 10Q,Governmental,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,3,Moving Backward,Slight Injury,Afternoon
Friday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,2,Going straight,3,No distancing,Slight Injury,Night
Friday,31-50,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,2,Going straight,3,No priority to pedestrian,Slight Injury,Night
Friday,Unknown,Male,Junior high school,Employee,1-2yr,Special vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,2,Going straight,3,Changing lane to the left,Slight Injury,Night
